,year,dma_desc,store address,city,state,zip,simulated_sales,#_of_workers_over_16,median_age,median_earnings,occupation_MBSA,occupation_Ser,occupation_sales_and_office,occupation_NrCM,occupation_PTMm,class_private_wage_and_salary,class_government_workers,class_self_employed,class_unpaid_family_workers,mean_travel_time_to_work,owner_occupied_houseing_units(percent),no_vehicle(percent),public_transportation,occupied_housing_units,housing_built_2014+,num_of_establishments,total population,sex_ratio,more_race_percent,White_race_percent,Black_AfricanAmerican_race_percent,AmericanIndian_Alaska_Native_race_percent,Asian_race_percent,NativeHawaiian_OtherPacificIslander_race_percent,others_race_percent,NotHispanic_Latino_percent
24,2017,Pittsburgh,3000 McIntyre Square Dr,PITTSBURGH,PA,15237,8633910.326,21765,44.2,52174,56.9,10.2,23.3,4.3,5.1,87.2,8.3,4.4,0,,82.9,1.2,646,18102,0.5,23,42391,92,1.1,90.3,3,0.1,5.1,0,0.4,97.9
25,2017,Salt Lake City,1134 W. Riverdale Road,RIVERDALE,UT,84405,7694060.808,15492,38.1,33976,36.3,13.2,27.6,9,13.8,73.6,22,4.4,0,,75.9,3,249,11081,1.1,17,31953,93,2.9,91.8,1,0,1.1,0.1,3,89.1
26,2017,Wichita-Hutchinson Plus,301 S. Towne East Mall Dr.,WICHITA,KS,67207,7388572.075,14955,35.5,29010,28.6,18.7,26.7,7.6,17.6,81.7,13.5,4.8,0,17.3,51.8,2.6,70,11221,0.7,7,28828,98.4,6.6,57.6,17.9,0.7,14.7,0,2.5,88.4
27,2017,Milwaukee,3201 North Mayfair Road,WAUWATOSA,WI,53222,7376669.996,13673,39.6,38632,40.9,15.7,26.4,4.6,12.5,80.7,15.8,3.5,0.1,22.2,72.4,2.9,578,11372,0,11,26328,94.1,3.5,64.3,26.7,0.3,3.9,0,1.3,95.3
28,2017,Denver,1840 Greeley Mall,GREELEY,CO,80631,5693507.672,22832,33.6,26280,19.3,22.9,24,16.3,17.3,83.3,10.7,5.6,0.4,,50.3,3.5,269,17453,1.2,10,55930,98.5,2.9,80.4,3.3,1.2,1,0,11.2,50.2
29,2017,New Orleans,1000 W. Esplanade Blvd,KENNER,LA,70065,9417829.836,25486,42.7,35306,33.5,18.4,25,13.5,9.6,83.6,10,6.1,0.2,24.5,66.3,3,132,19257,0.1,8,52046,97,1.7,70.2,18.2,0.2,4.8,0,4.8,74
30,2017,Washington DC,8300 Sudley Rd.,Manassas,VA,20109,6988385.147,21851,37,36507,33.2,20.8,23.6,14.1,8.3,83.5,12.8,3.7,0,36.3,47.5,2.1,623,13089,1.5,14,40314,98.5,5.5,57.5,17.6,0.8,9.3,0,9.3,62
31,2017,Salt Lake City,1165 S. University Ave,Provo,UT,84601,5667479.04,16715,30,23652,32.7,17.4,24.2,11.6,14.1,87.9,8.6,3.4,0.1,,44.4,2.8,379,10722,0.7,5,34199,107.9,4.2,86.2,0.4,0.7,1.3,2.7,4.4,70.5
32,2017,Kansas City,600 NE Barry Road,Kansas City,MO,64155,7852840.25,12102,39.9,43811,40.3,14.6,26.8,5.2,13.2,82.6,13.8,3.5,0.1,23,79.7,0.7,74,8324,1.4,4,23108,94.6,3.2,86,6.8,0.7,2.1,0.1,1.1,93
33,2017,Charlotte,11415 Carolina Place Parkway,Pineville,NC,28134,16277201.75,5522,40.5,40983,40,17.4,29,5.1,8.6,86.7,7.5,5.8,0,,58.8,1.2,115,4400,0.9,24,11050,85.8,1.4,63.6,25.9,0.2,5.4,0,3.4,85
34,2017,Phoenix (Prescott),1801 E State Route 69,PRESCOTT,AZ,86301,6312886.032,7463,45.3,25979,36.8,24.3,26.2,6.6,6.2,73.1,20.2,6.7,0,17.5,55.5,2.6,34,9791,1.3,9,22147,91.7,3.4,92.2,0.3,1.3,1.9,0.1,0.8,91.5
35,2017,Minneapolis-St. Paul,14230 BURNHAVEN DRIVE,BURNSVILLE,MN,55306,10153496.41,8754,43.5,39646,41,18.5,23.7,5.8,11,86.5,9.1,4.2,0.2,23.5,67.3,1.3,226,6381,0.2,8,16355,90,3.7,73.1,10.5,0.1,4.4,0,8.1,85.7
36,2017,Salt Lake City,190 SOUTH 500 WESY,WEST BOUNTIFUL,UT,84010,6522875.981,20743,38.3,33118,44.6,14.9,25.2,6.9,8.4,80.2,13.4,6,0.4,21,72.2,1.1,590,15167,0.2,11,46086,96,2.5,93.5,0.4,0.5,1.2,0.2,1.7,92.5
37,2017,Oklahoma City,621 SW 19TH STREET,MOORE,OK,73160,10029908.42,31013,37.7,35658,37.1,15,27.1,10,10.1,74.8,21.1,3.8,0.3,,67.4,0.8,4,22339,4.4,12,58078,92.1,9.1,79.2,4.6,3.6,2.3,0,1.3,90.5
38,2017,Minneapolis-St. Paul,4405 NE PHEASANT RIDGE DRIVE,BLAINE,MN,55449,9505440.036,14615,41.6,58721,51.6,11.2,21.9,5.1,10,85.2,11.7,3.2,0,,90.5,0.9,562,9713,5.1,,27536,96,2.6,84.2,3.8,0.5,7.8,0.1,1.1,96.3
39,2017,Dallas-Ft. Worth,2704 East Central Expressway,PLANO,TX,75074,15059280.78,26048,40.8,31964,36.3,22,23.5,10.6,7.5,85.1,8.6,6.1,0.2,26.2,59.3,1.8,537,16430,3.1,10,48977,100.7,3.1,72,11.5,0.7,9.2,0.1,3.4,62
40,2017,Cedar Rapids-Waterloo-Iowa City & D,2060 CROSSROADS BLVD #2001,WATERLOO,IA,50702,5115480.595,10032,39,32392,27,16.5,24.6,8,24,85.6,10.1,4.3,0,15,71.2,2.7,37,8387,0.8,10,19568,99.2,3.3,85.3,7.7,0.1,1.4,0,2.2,93
41,2017,Lafayette LA,4230 AMBASSADOR CAFFERY PKWY,LAFAYETTE,LA,70508,10360722.96,20245,40.9,45598,47,12.7,23.8,8,8.4,82.7,7.7,9.5,0.2,23.3,68.8,1.9,0,15970,2.4,10,38799,95.1,1.3,85.8,10.3,0.3,1.8,0,0.5,94.2
42,2017,Salt Lake City,203 West 9000 South,Sandy,UT,84070,11977636.97,14068,38.4,37523,38.7,16.7,26.6,6.1,12,82,12.7,5.1,0.2,20.1,64.7,2.1,567,9728,2.8,18,27736,92.3,1.8,87.9,1,0.8,3.5,0.8,4.2,86.1
43,2017,Norfolk-Portsmouth-Newport News,1072 W Mercury Blvd,Hampton,VA,23666,7895830.823,26412,38.3,33788,35.4,17.3,22.6,8.6,13.3,68.5,28.3,3,0.2,,55.2,4,384,21563,0.2,14,51871,91.5,2.8,36.3,53.9,0.3,4,0.1,2.7,93.5
44,2017,Wichita Falls & Lawton,3111 Midwestern Pkwy #200,Wichita Falls,TX,76308,4753529.251,10050,37,27917,40.8,16.4,27.3,6,9.3,73.4,19.8,6.5,0.3,13.8,56.7,2,76,8195,0.2,20,19361,83.7,2.9,82.1,8.5,0.7,3.6,0.1,2.2,88.9
45,2017,Rapid City,2200 N Maple Ave.,Rapid City,SD,57701,4859955.186,21396,39.5,27081,27.2,22.5,27.7,12.2,9.8,81.6,13.5,4.7,0.2,15.1,62.4,3,186,18193,1.4,22,44987,102.4,6.4,74.2,1.5,15.7,1.5,0,0.7,94.7
46,2017,Odessa-Midland,4101 E 42ND STREET,ODESSA,TX,79762,3980519.712,22335,38.7,37858,28.1,15.9,30.3,12.8,12.9,81.2,12.2,6.5,0,,58.1,3.8,90,15613,0.4,11,44014,101.1,4.5,83.6,4.5,0.5,1.2,0,5.6,54.5
47,2017,Milwaukee,4601 S 27th Street,Greenfield,WI,53221,7685200.715,18499,39.5,34329,28.9,20.4,22.3,8.3,20.1,83.2,13.1,3.6,0,,61.4,2.6,661,15883,0.1,5,40945,97.5,4.1,81.1,5.7,0.4,5.6,0,3,78.2
48,2017,San Antonio,8421 US Highway 281,SAN ANTONIO,TX,78216,10601857.64,22248,37.5,31529,36.7,21.2,27.9,8,6.1,84.1,9.9,5.6,0.4,21.4,36.7,8,1312,17369,0.9,32,41042,102,2.2,82.6,6.9,0.5,2.6,0.1,5,44.1
49,2017,Mobile-Pensacola (Ft. Walton Beach),312 SCHILLINGER ROAD,MOBILE,AL,36608,8115437.434,16099,39.1,33358,41.9,18.1,24.3,6.8,8.8,81.2,12.9,5.5,0.3,22.7,61.6,1.9,78,14489,0,21,35810,88.8,1.2,65.9,29.8,0,2.1,0,0.9,95.6
50,2017,New Orleans,150 North Shore Blvd,SLIDELL,LA,70460,6031072.842,9178,43.8,31754,28.8,17.3,30.2,13.3,10.3,82.8,11,6.1,0,,77.2,1.5,32,7793,0.1,8,22815,97.1,4.4,65.4,26.9,0.7,0.4,0,2.2,90.6
51,2017,Dallas-Ft. Worth,13307 MIDWAY ROAD,FARMERS BRANCH,TX,75244,10487183.15,8109,41,52250,57.9,12.2,22.3,4.7,2.8,83,8.2,8.5,0.2,,47.5,1.4,99,6068,0.6,25,13613,93.2,8.4,68.5,8.5,0.1,6,0,8.5,77
52,2017,Harrisburg-Lancaster-Lebanon-York,1800 LOUCKS ROAD STE 900,YORK,PA,17408,10171112.75,11813,44.5,40476,34,17.7,22.6,9.6,16.1,85.7,10.1,4.2,0.1,27.6,81.6,1.7,82,9280,0,5,23332,96.2,1.2,91.3,5,0.3,1.7,0,0.5,95.1
53,2017,Washington DC,2851 DALE BLVD,DALE CITY,VA,22193,8017355.418,42074,41.3,41684,35.6,21.1,22.1,11.4,9.2,71.5,23.9,4.6,0.1,39.7,80.1,1.4,2408,23400,1.3,5,82726,100.8,5.5,49.2,24.7,0.4,8.9,0.4,10.9,71.4
54,2017,Tulsa,11015 E 51st St S.,Tulsa,OK,74146,15536354.7,7234,34.7,24450,16.1,26.6,21.6,19.9,15.9,92.1,4.5,3.4,0,20.2,37.5,2.9,137,5629,0.2,12,16181,101.6,6,56.4,13.4,3.6,3.4,0.4,16.9,54.3
55,2017,Detroit,2101 South Telegraph Road,Bloomfield Hills,MI,48302,10026001.53,7057,50.7,65349,66.7,8.1,18.6,2.6,3.9,86.2,6.3,7.2,0.4,,88.3,1,26,6265,0.7,10,15506,94.8,1.9,79.2,6.2,0.5,10.8,0.1,1.3,96.5
56,2017,St. Louis,13901 Manchester Road,Ballwin,MO,63011,7797014.028,18265,45.6,51911,54.4,11.2,26.5,3.7,4.2,89,7,4,0,,84.1,0.6,29,14029,0.9,22,37765,89.2,1.7,89.2,2.9,0.1,5.8,0,0.2,96.9
57,2017,"Columbus,GA",3131 MANCHESTER EXPRESSWAY,COLUMBUS,GA,31909,7481912.1,18349,38.7,37407,40.9,14.8,25.4,5.4,8,68,28.2,3.7,0,,50.7,1.6,31,15037,0.6,14,38202,98.1,5.5,68.3,19.4,0.3,3.4,0,3.1,91.6
58,2017,ALBANY,161 WASHINGTON AVE,ALBANY,NY,12205,9613179.701,13998,42.4,39558,40.5,18.2,26.8,7.1,7.4,69.4,26.7,3.9,0,,73.4,2.7,430,11158,0,22,26480,96.5,2.9,83.4,5.4,0.1,7.2,0,1,96
59,2017,SYRACUSE,9090 DESTINY USA DRIVE,SYRACUSE,NY,13204,7219799.101,7772,35.2,29240,32.6,24,24.9,7.6,10.8,80.2,15,4.7,0.1,,31.4,17.8,855,7920,0.2,11,18477,88.2,5,61.3,27.2,0.8,1.5,0,4.2,83.1
60,2017,Birmingham (Anniston & Tuscaloosa),5036 PINNACLE SQUARE,TRUSSVILLE,AL,35235,4896069.422,9648,44.7,32310,34.1,14.6,30.4,5.9,15,83.6,12.8,3.5,0,,72.8,0.6,33,8102,0.1,11,19630,81.6,1.4,40.6,54.7,0.6,1,0.1,1.6,95.2
61,2017,Montgomery,1500 EASTDALE MALL,MONTGOMERY,AL,36117,6167703.142,26916,40,37269,43.8,15.1,23.9,4.6,11.8,73.6,23.1,3.2,0.1,19.8,59.3,1.3,46,21945,0.8,29,53172,90.9,2.4,45.5,46.2,0.3,5.3,0,0.4,98.1
62,2017,Providence-Warwick-Pawtucket,25 PACE BLVD,WARWICK,RI,2886,7905291.87,14326,44.8,44039,42.3,16.9,22.5,9.8,8.4,83.5,11.8,4.7,0,23.5,74.7,2.2,137,12509,0.3,16,28695,91.6,2.4,92.3,0.8,0.1,3.1,0,1.2,94.3
63,2017,Saginaw Bay City-Midland,5417 Bay Road,SAGINAW,MI,48604,7531534.058,5695,29.2,17236,23.6,27.6,30.4,8.4,10,85.6,10.9,3.4,0.1,15.9,64.5,0.6,23,4149,0.2,8,12601,76.5,2.9,82.9,11.5,0.2,1.9,0,0.6,90
64,2017,Nashville,2780 WILMA RUDOLPH BLVD,CLARKSVILLE,TN,37040,7090017.494,22230,35.4,31238,27.6,16.6,24.2,10.1,14.7,66.8,28.6,4.6,0,24.7,57,2,258,17612,3.5,18,49811,98.6,4.6,70.1,21,0.2,1.7,1.1,1.3,89.1
65,2017,Houston,20780 Gulf Freeway,Webster,TX,77598,16712759.4,14048,33.5,32437,31.5,25.7,21.6,9.5,11.7,88.1,8.9,3,0,23.7,19.7,2.9,83,10349,0.9,22,24689,102.3,4.9,67.5,17,0.8,7.6,0,2.3,66.9
66,2017,Louisville,1811 NORTH DIXIE AVE,ELIZABETHTOWN,KY,42701,5976307.224,24324,42.8,36561,34.5,15.2,25.4,7.6,16.2,75.5,20.4,4.1,0,21.4,68.3,2.5,97,20074,0.7,13,50160,96.2,4,82.9,8.5,0.2,2.7,0.3,1.5,95.1
67,2017,Washington DC,13910 METROTECH DRIVE,CHANTILLY,VA,20151,7487640.743,11861,44.7,52016,51.8,15.3,20.6,7.8,4.4,80,15.2,4.7,0.1,31.3,80.6,1.6,612,6792,0,14,23097,92.9,3.5,57.1,7.3,0.2,29.6,0,2.3,79.8
68,2017,Chicago,101 W LINCOLN HWY,MERRILLVILLE,IN,46410,5373783.39,18021,42.2,36170,29.5,18.2,24.7,8.4,19.2,85.2,12.2,2.6,0,27.3,70.7,2.8,351,15520,1,23,38299,88.3,4.5,40.2,47.5,0.3,1.5,0,6.1,86.6
69,2017,Providence-Warwick-Pawtucket,1110 FALL RIVER AVENUE,SEEKONK,MA,2771,8124951.888,8118,46.3,49206,41.1,16.2,24.8,8.3,9.5,78.9,14.2,6.7,0.2,,88.7,1.1,171,5886,1.8,10,14957,90.3,1.1,97.4,0.1,0,0.6,0.5,0.3,97.9
70,2017,Rochester,1100 JEFFERSON ROAD,ROCHESTER,NY,14623,4081579.949,12320,32,26186,37.9,20.3,28.2,5.8,7.8,86.7,9.7,3.6,0,,55.6,6.8,878,8598,0.6,24,25952,109.1,2.1,71.8,10.1,0.6,14.1,0,1.3,95.5
71,2017,Las Vegas,10405 S EASTERN AVE,HENDERSON,NV,89052,6426667.047,23641,44.3,48286,41.8,19.1,26.9,3.7,8.5,81,11.7,7,0.3,23.3,63.7,2,278,21160,1.4,11,53535,94.7,4.5,73.7,4.6,0.1,14.5,0.3,2.4,87.1
72,2017,Philadelphia,989 CHURCH ROAD,CHERRY HILL,NJ,8002,3665134.21,11594,42.7,45727,44.2,15.8,23.3,5.9,10.7,83.7,12.1,4,0.1,25.4,70.9,0.7,728,8559,0.5,24,22946,87.7,3.1,71.9,5.9,0.2,14.5,0,4.4,89.8
73,2017,Shreveport,1376 East 70th Street,SHREVEPORT,LA,71105,4217035.411,11432,39,40024,43.6,14.9,23.9,8.8,7.1,76.3,16.8,6.9,0.1,18.3,53.4,1.2,89,9784,0.8,18,21845,101.5,2.5,76.9,16.9,0.4,2.7,0,0.6,96
74,2017,Detroit,200 WEST 14 MILE ROAD,TROY,MI,48083,2108936.318,11002,41.8,47201,54.1,13.7,19.3,4.4,8.5,89.1,7.5,3.4,0,,68.2,2.3,103,9234,0.7,12,23029,102.2,2.4,69.4,5.7,0.1,21.4,0.1,0.8,97.1
75,2017,St. Louis,11968 Paul Mayer Ave,Bridgeton,MO,63044,8274487.111,4949,45,35742,39.4,17.7,25.1,7.2,10.7,83.8,8.9,7,0.3,,71.6,2.8,232,4087,0.3,5,10613,91.8,2.5,71.5,21.8,0.1,1.9,0,2.2,90.9
76,2017,Pittsburgh,120 MALL PLAZA BLVD,MONROEVILLE,PA,15146,5638381.841,14418,43.7,39399,45.4,16.4,24.4,5.7,8.1,85,9.6,5.1,0.2,,74.7,2.7,833,12592,0,18,28042,89.6,4,78,12.2,0,5.4,0,0.3,97.7
77,2017,Washington DC,3655 PLANK RD,FREDERICKSBURG,VA,22407,4554761.651,28576,42.7,41337,38.8,18,24.8,9.2,8.7,72.6,24,3.3,0.1,36.7,77,1,686,19611,1.2,22,59034,97,3.1,69.5,17.7,0.5,3.6,0.1,5.6,89.4
78,2017,Columbus,1160 Gemini Place,COLUMBUS,OH,43240,2863948.781,2629,36.1,46076,50.4,9.1,26.6,4.8,9,85.8,7.7,6,0.5,,42.7,1.3,0,1896,11.8,22,4305,101,4,71,3.9,0.8,18.7,0,1.6,93.4
79,2017,Houston,19420 1-10 HWY,houston,TX,77084,14115624.39,52091,40.3,36556,36.5,15.8,25.9,9.6,12.2,84,8.6,7.3,0.1,,65,1.5,854,33790,0.9,11,104582,101.5,3.5,57.6,16.1,0.4,10.5,0,11.9,57.1
80,2017,Houston,4833 Waterview Meadow Drive,RICHMOND,TX,77406,3710485.325,19428,42.8,61470,59.4,8.3,19.9,6,6.3,81.4,13.2,4.9,0.6,,89.6,1.1,175,13392,9.2,5,41008,109,2.8,79.1,9.7,0.1,5.5,0,2.8,76.6
81,2017,FAYETTEVILLE,3551 S 27th Street,ROGERS,AR,72758,3370195.843,19978,39.5,35998,37.5,12.9,28.6,7.6,13.3,88.8,6.7,4.5,0.1,,63.7,1.1,6,14017,2.1,16,39727,97.7,2.8,89.4,1.7,0.8,2.8,0.1,2.4,71.8
82,2017,Detroit,10800 Assembly Park Drive,WIXOM,MI,48393,5904058.821,9199,40.9,35769,35.9,21,24.9,6.8,11.5,89,7.4,3.6,0,25.7,62.7,3.3,0,7160,0,4,16648,94.6,2.9,74.6,15.6,0.2,5.5,0,1.2,94.4
83,2017,Phoenix (Prescott),1891 Williams Field Road,GILBERT,AZ,85295,4109811.941,22116,38.9,47067,49.2,13.1,27.4,5.4,4.7,82.7,11.5,5.7,0.1,27.3,66.2,1.8,147,13654,4.6,8,43525,100.3,4.3,82.4,3.5,1.2,6,0.4,2.2,82.7
84,2017,Houston,3000 Kirby Drive,PEARLAND,TX,77584,3746032.805,45503,40.4,60924,59.2,9.5,16.2,6.1,8.9,79.1,17.3,3.5,0.1,33.8,78.5,0.7,129,29633,3.4,8,87121,95.2,2.9,53.8,23.4,0.4,17.1,0,2.5,80.5
85,2017,Greenville-Spartanburg-Asheville-An,35 Park Woodruff Rd,Greenville,SC,29607,12086290.23,19897,38.7,36377,47.2,16.4,22.4,4.1,9.8,86.1,10.4,3.5,0,19,52.5,2,154,16431,3,53,39368,88.6,1.7,65.1,26.9,0.1,5,0,1.2,94
86,2017,Atlanta,2875 George Busbee Pkwy,Kennesaw,GA,30144,15431128.19,30893,36.5,34413,42.2,17.7,25.1,5.6,9.4,83.7,11,5.3,0,,56.7,0.6,374,20010,0.8,32,55573,94.7,3.7,67,20.5,0.4,4.6,0.2,3.5,88.1
87,2017,Atlanta,1887 Willowtrail Pkwy,Norcross,GA,30093,8072843.941,26995,35.2,25626,16.4,24.5,21.1,25.3,12.6,88.3,5.3,6.3,0.1,,32.5,11.2,711,18040,0.6,20,55826,107.9,3.9,36.8,24.2,0.4,10.4,0,24.3,46.9
88,2017,Atlanta,5000 Mt. Zion Pkwy,Stockbridge,GA,30281,12595446.65,31119,42.8,33217,32.1,16.6,28.2,8.1,14.9,79.3,16.3,4.4,0,,65.6,2.1,221,24101,0.1,6,69320,93.8,2.6,43.9,46.4,0.2,4.5,0,2.4,91.9
89,2017,Dallas-Ft. Worth,2512 S.Stemmons Frwy,Lewisville,TX,75067,15084063.79,37343,36.7,36453,39.2,17.4,25.8,6.7,10.9,86.7,9.4,3.9,0.1,26.2,43.3,2.1,339,24913,1.1,24,66896,94.2,4.3,64.5,13.7,0.4,10.3,0.1,6.8,67.6
90,2017,St. Louis,1287 Central Park Drive,OFallon,IL,62269,10253581.6,14910,42.1,48509,44.5,15.3,23.5,4.4,8.8,71.6,24.8,3.5,0.1,24.3,75.6,2,255,11703,1.3,8,31681,97.9,3.7,78.2,13,0.1,3.4,0,1.6,96.1
91,2017,Lexington,1996 Pavillion Way,Lexington,KY,40509,12481888.57,21008,39.3,43258,49.2,15,22.8,4.2,8.7,79.9,16.3,3.8,0,22.8,64.6,2.8,147,15647,2.6,23,38800,92.8,2.7,76.2,14.8,0.1,4.9,0.1,1.2,95.3
